Number,Date,Vessel,Incident,Israeli Connection,Flag,Location ,Estimated Coordinates,Note,Source,Source 2,Only Reported by Nour News
1,30-Apr-19,Happiness1,explosions/sabotage,No,Iran,Red Sea,"19.932875, 39.069017",The the National Iranian Tanker Co. said the Happiness 1 had suffered “engine failure and loss of control”.,https://www.wsj.com/articles/iran-calls-red-sea-oil-shipping-routes-unsafe-11573074910 ,Nour News,-
2,12-May-19,Al Marzoqah,explosions/sabotage,No,Saudi Arabia,Gulf of Oman - Off Fujaihrah,"25.201340, 56.526152","Two Saudi-owned tankers among four ships targeted with limpet mines while at anchor off Fujairah including Saudi-flagged very large crude carrier Amjad, and Al Marzoqah. Investigations  concluded tankers were deliberately targeted in premeditated strikes but stops short of linking Iran",Lloyd,BBC,-
3,12-May-19, Amjad,explosions/sabotage,No,Saudi Arabia,Gulf of Oman - Off Fujaihrah,"25.151627, 56.468624","Two Saudi-owned tankers among four ships targeted with limpet mines while at anchor off Fujairah including Saudi-flagged very large crude carrier Amjad, and Al Marzoqah. Investigations  concluded tankers were deliberately targeted in premeditated strikes but stops short of linking Iran",Lloyd,BBC,-
4,12-May-19,Andrea Victory,explosions/sabotage,No,Norway,Gulf of Oman - Off Fujaihrah,"25.237369, 56.465035","In addition to two Saudi tankers, the Norwegian-flagged product tanker Andrea Victory and UAE-flagged bunker tanker A. Michel were damaged by explosions off the coast of Fujairah.
Investigations  concluded tankers were deliberately targeted in premeditated strikes but stops short of linking Iran.",Lloyd,BBC,-
5,12-May-19,A. Michel,explosions/sabotage,No,UAE,Gulf of Oman - Off Fujaihrah,"25.170272, 56.525610","In addition to two Saudi tankers, the Norwegian-flagged product tanker Andrea Victory and UAE-flagged bunker tanker A. Michel were damaged by explosions off the coast of Fujairah.
Investigations  concluded tankers were deliberately targeted in premeditated strikes but stops short of linking Iran.",Lloyd,BBC,-
6,13-Jun-19,Front Altair,explosions/sabotage,No,Marshall Islands,Strait of Hormuz,"25.450000, 57.366667","Damaged by explosions after passing through the Strait of Hormuz, some 19 to 20 nautical miles south of Iran’s coast. The explosion triggered a fire from which crew were rescued. ",Lloyd,BBC,-
7,13-Jun-19,Kokuka Courageous,explosions/sabotage,No,Panama,Strait of Hormuz,"25.365596, 57.695326","Damaged by explosions after passing through the Strait of Hormuz, some 19 to 20 nautical miles south of Iran’s coast. Starboard hull sustained damage.",Lloyd,BBC,-
8,4-Jul-19,Grace1,seizure,No,Iran,Gibraltar ,"36.103195, -5.319655",,https://www.theguardian.com/world/2019/jul/04/royal-marines-gibraltar-tanker-oil-syria-eu-sanctions,https://www.cnn.com/2019/08/15/middleeast/gibraltar-grace-1-oil-tanker-gbr-intl/index.html,-
9,19-Jul-19,Mesdar,seizure,No,Liberia,Strait of Hormuz,"26.428965, 56.365922",British-owned Liberian-flagged Mesda was boarded by armed guards but was released to continue its journey shortly.,https://www.bbc.com/news/uk-49053382,,-
10,19-Jul-19,Stena Impero,seizure,No,UK,Strait of Hormuz,"26.416667, 56.350000","Iran’s IRGC captured the vessel. This was seen as retaliation for the seizure of an Iran-controlled very large crude carrier off Gibraltar on July 4. The VLCC, then known as Grace 1, was sailing for a Syrian refinery connected to EU sanctioned entities. After 10 weeks of intense diplomatic talks, the Stena Impero was allowed to sail from Bandar Abbas and the crew were released.",Lloyd,https://www.bbc.com/news/uk-49053384,-
